URL,Month,Year
https://isaw.nyu.edu/library/Find/NewTitles-2015-16/2015-july,7,2015
https://isaw.nyu.edu/library/Find/NewTitles-2015-16/2015-august,8,2015
https://isaw.nyu.edu/library/Find/NewTitles-2015-16/2015-september,9,2015
https://isaw.nyu.edu/library/Find/NewTitles-2015-16/2015-october,10,2015
https://isaw.nyu.edu/library/Find/NewTitles-2015-16/2015-november,11,2015
https://isaw.nyu.edu/library/Find/NewTitles-2015-16/2015-december,12,2015
https://isaw.nyu.edu/library/Find/NewTitles-2015-16/2016-january,1,2016
https://isaw.nyu.edu/library/Find/NewTitles-2015-16/2016-feb,2,2016
https://isaw.nyu.edu/library/Find/NewTitles-2015-16/2016-mar,3,2016
https://isaw.nyu.edu/library/Find/NewTitles-2015-16/New-titles-2016-apr,4,2016
https://isaw.nyu.edu/library/Find/NewTitles-2015-16/2016-May,5,2016
https://isaw.nyu.edu/library/Find/NewTitles-2015-16/2016-June,6,2016
https://isaw.nyu.edu/library/Find/NewTitles-2016-17/2016-July,7,2016
https://isaw.nyu.edu/library/Find/NewTitles-2016-17/2016-August,8,2016
https://isaw.nyu.edu/library/Find/NewTitles-2016-17/2016-Sept,9,2016
https://isaw.nyu.edu/library/Find/NewTitles-2016-17/2016-oct,10,2016
https://isaw.nyu.edu/library/Find/NewTitles-2016-17/2016-Nov,11,2016
https://isaw.nyu.edu/library/Find/NewTitles-2016-17/2016-Dec,12,2016
https://isaw.nyu.edu/library/Find/NewTitles-2016-17/2017-Jan,1,2017
https://isaw.nyu.edu/library/Find/NewTitles-2016-17/2017-Feb,2,2017
https://isaw.nyu.edu/library/Find/NewTitles-2016-17/2017-Mar,3,2017
https://isaw.nyu.edu/library/Find/NewTitles-2016-17/2017-Apr,4,2017
https://isaw.nyu.edu/library/Find/NewTitles-2016-17/2017-may,5,2017
https://isaw.nyu.edu/library/Find/NewTitles-2016-17/2017-jun,6,2017
https://isaw.nyu.edu/library/Find/NewTitles-2017-18/2017-july,7,2017
https://isaw.nyu.edu/library/Find/NewTitles-2017-18/2017-august,8,2017
https://isaw.nyu.edu/library/Find/NewTitles-2017-18/2017-sept,9,2017
https://isaw.nyu.edu/library/Find/NewTitles-2017-18/2017-oct,10,2017
https://isaw.nyu.edu/library/Find/NewTitles-2017-18/2017-nov,11,2017
https://isaw.nyu.edu/library/Find/NewTitles-2017-18/2017-dec,12,2017
https://isaw.nyu.edu/library/Find/NewTitles-2017-18/2018-jan,1,2018
https://isaw.nyu.edu/library/Find/NewTitles-2017-18/2018-Feb,2,2018
https://isaw.nyu.edu/library/Find/NewTitles-2017-18/2018-mar,3,2018
https://isaw.nyu.edu/library/Find/NewTitles-2017-18/2018-apr,4,2018
https://isaw.nyu.edu/library/Find/NewTitles-2017-18/2018-may,5,2018
https://isaw.nyu.edu/library/Find/NewTitles-2017-18/2018-jun,6,2018
https://isaw.nyu.edu/library/Find/NewTitles-2018-19/2018-july,7,2018
https://isaw.nyu.edu/library/Find/NewTitles-2018-19/2018-aug,8,2018
https://isaw.nyu.edu/library/Find/NewTitles-2018-19/2018-sept,9,2018
https://isaw.nyu.edu/library/Find/NewTitles-2018-19/2018-oct,10,2018
https://isaw.nyu.edu/library/Find/NewTitles-2018-19/2018-nov,11,2018
https://isaw.nyu.edu/library/Find/NewTitles-2018-19/2018-dec,12,2018
https://isaw.nyu.edu/library/Find/NewTitles-2018-19/2019-jan,1,2019
https://isaw.nyu.edu/library/Find/NewTitles-2018-19/2019-feb,2,2019
https://isaw.nyu.edu/library/Find/NewTitles-2018-19/2019-mar,3,2019
https://isaw.nyu.edu/library/Find/NewTitles-2018-19/2019-apr,4,2019