Number,Category
3,AncientNearEast
4,Caucasus
5,CentralAsia
1,Classical
6,EastAsia
2,Egypt
3,NearEast
7,Other
0,Top
4,caucasus
5,central asia &amp; siberia
5,central-asia---siberia
5,centralasia
6,"china, south asia, &amp; east asia"
6,china--south-asia----east-asia
1,classical
1,classical antiquity &amp; western europe
1,classical-antiquity---western-europe
7,cross-cultural studies &amp; other
7,cross-cultural-studies---other
6,eastasia
2,egypt
2,egypt &amp; north africa
2,egypt---north-africa
3,neareast
7,other
3,the ancient near east &amp; asia minor
4,the caucasus &amp; the western steppe
4,the-caucasus---the-western-steppe
3,the-near-east---asia-minor
0,top